"text","text_en","cmp_code","eu_code"
"•  Wir fordern eine geordnete Auflösung des Euro-Währungsgebietes.","- We call for an orderly dissolution of the euro area.","110",NA
"Deutschland braucht den Euro nicht.","Germany does not need the euro.","110",NA
"Anderen Ländern schadet der Euro.","The euro is damaging other countries.","110",NA
"•   Wir fordern die Wiedereinführung nationaler Währungen oder die Schaffung kleinerer und stabilerer Währungsverbünde.","- We call for the reintroduction of national currencies or the creation of smaller and more stable currency alliances.","110",NA
"Die Wiederein-führung der DM darf kein Tabu sein.","The reintroduction of the DM must not be taboo.","601",NA
"•  Wir fordern eine Änderung der Europäischen Verträge, um jedem Staat ein Ausscheiden aus dem Euro zu ermöglichen.","- We call for an amendment of the European treaties to allow any state to leave the euro.","110",NA
"Jedes Volk muss demokratisch über seine Währung entscheiden dürfen.","Every nation must be allowed to decide democratically about its currency.","202",NA
"•   Wir fordern, dass Deutschland dieses Austrittsrecht aus dem Euro er-zwingt, indem es weitere Hilfskredite des ESM mit seinem  Veto blo-ckiert.","- We demand that Germany enforces this right to leave the euro by blocking further ESM bailout loans with its veto.","110",NA
"•   Wir fordern, dass die Kosten der sogenannten Rettungs-politik nicht  vom Steuerzahler getragen werden.","- We demand that the costs of the so-called rescue policy are not borne by the taxpayer.","414",NA
"Banken, Hedge-Fonds und pri-vate Großanleger sind die Nutznießer dieser Politik.","Banks, hedge funds and large private investors are the beneficiaries of this policy.","414",NA
"Sie müssen zuerst dafür geradestehen.","They have to pay for it first.","414",NA
"•  Wir fordern, dass hoffnungslos überschuldete Staaten durch einen Schuldenschnitt entschuldet werden.","- We demand that hopelessly over-indebted states be relieved of their debt by means of a debt haircut.","107",NA
"•  In der Schuldenkrise müssen Banken ihre Verluste selbst tragen oder zu Lasten ihrer privaten Großgläubiger stabilisiert werden.","- In the debt crisis, banks must bear their own losses or be stabilized at the expense of their major private creditors.","401",NA
"•  Wir fordern ein sofortiges Verbot des Ankaufs von Schrottpapieren durch die Europäische Zentralbank.","- We demand an immediate ban on the purchase of junk securities by the European Central Bank.","414",NA
"Inflation darf nicht die Ersparnisse der Bürger aufzehren.","Inflation must not be allowed to eat away at people's savings.","414",NA
"Europapolitik","European policy",NA,NA
"•  Wir bejahen ein Europa souveräner Staaten mit einem gemeinsamen Binnenmarkt.","- We affirm a Europe of sovereign states with a common internal market.","108",NA
"Wir wollen in Freundschaft und guter Nachbarschaft zusammenleben.","We want to live together in friendship and good neighborliness.","107",NA
"•   Wir bestehen auf  dem uneingeschränkten  Budgetrecht  der  nationa-len  Parlamente.","- We insist on the full budgetary rights of national parliaments.","202",NA
"Eine  Transferunion oder  gar  einen zentralisierten Euro-pastaat lehnen wir entschieden ab.","We firmly reject a transfer union or even a centralized euro state.","110",NA
"•  Wir werden dafür sorgen, dass Gesetzgebungskompetenzen zurück zu den nationalen Parlamenten verlagert werden.","- We will ensure that legislative powers are shifted back to the national parliaments. - We will push","110",NA
"•  Wir werden uns für eine Reform der EU stark machen, um die Brüsseler Bürokratie abzubauen","for a reform of the EU in order to reduce the Brussels bureaucracy","303",NA
"und Transparenz und Bürgernähe zu fördern.","and to promote transparency and proximity to the citizens.","303",NA
"•  Das europäische Parlament hat bei der Kontrolle Brüssels versagt.","- The European Parliament has failed in its control of Brussels.","110",NA
"Wir unterstützen nachdrücklich die Positionen David Camerons, die EU durch mehr Wettbewerb und Eigenverantwortung zu verschlanken.","We strongly support David Cameron's positions to streamline the EU through more competition and ownership.","110",NA
"Rechtsstaatlichkeit und Demokratie","Rule of law and democracy",NA,NA
"•   Wir fordern, den Rechtsstaat uneingeschränkt zu achten.","- We demand that the rule of law be fully respected.","202",NA
"Staatliche Organe dürfen sich selbst in Einzelfällen nicht über Gesetze und Ver-träge hinwegsetzen.","State bodies may not disregard laws and treaties even in individual cases.","202",NA
"Vielmehr sind diese nach ihrem Buchstaben und nach ihrem Geist zu respektieren.","Rather, they are to be respected according to their letter and spirit.","202",NA
"•  Das Handeln jeder deutschen Regierung findet seine Beschränkungen im Völkerrecht, im Grundgesetz und in den Europäischen Verträgen.","- The actions of any German government find their limitations in international law, in the Basic Law and in the European Treaties.","202",NA
"Diese sind für unsere Gesellschaft von fundamentaler Bedeutung und strikt zu befolgen.","These are of fundamental importance to our society and must be strictly adhered to.","202",NA
"•  Wir fordern eine Stärkung der Demokratie und der demokratischen Bürgerrechte.","- We demand a strengthening of democracy and democratic civil rights.","202",NA
"Wir wollen Volksabstimmungen und -initiativen nach Schweizer Vorbild einführen.","We want to introduce referendums and initiatives based on the Swiss model.","202",NA
"Das gilt insbesondere für die Abtretung wichtiger Befugnisse an die EU.","This applies in particular to the ceding of important powers to the EU.","202",NA
"•   Parteien sollen am politischen System  mitwirken, es aber nicht beherr-schen.","- Parties should participate in the political system, but not control it.","202",NA
"•  Wir fordern mehr direkte Demokratie auch in den Parteien.","- We call for more direct democracy in the parties as well.","202",NA
"Das Volk soll den Willen der Parteien bestimmen, nicht umgekehrt.","The people should determine the will of the parties, not the other way around.","202",NA
"•  Wir fordern, dass Bundestagsabgeordnete ihre volle Arbeitskraft der parlamentarischen Arbeit widmen.","- We demand that members of the Bundestag devote their full working capacity to parliamentary work.","303",NA
"Das Mandat darf nicht unter bezahlten Nebentätigkeiten leiden.","The mandate must not suffer from paid sideline activities.","303",NA
"•   Wir setzen uns dafür ein, dass auch unkonventionelle  Meinungen im öffentlichen Diskurs ergebnisoffen diskutiert werden, so-lange die Meinungen nicht gegen die Werte des Grundgesetzes ver-stoßen.","- We are committed to ensuring that even unconventional opinions are discussed openly in public discourse, as long as the opinions do not violate the values of the Basic Law.","201",NA
"Staatsfinanzen und Steuern","Public finances and taxes",NA,NA
"•  Wir fordern, die Schuldenbremse zu achten und die Schuldenberge abzubauen.","- We demand that the debt brake be respected and that mountains of debt be reduced.","414",NA
"Auch Deutschland hat viel mehr Schulden als zulässig.","Germany also has much more debt than is permissible.","414",NA
"•   Wir fordern, dass die Haftungsrisiken aus der Euro-Rettungs-politik end-lich in der Finanzplanung berücksichtigt werden.","- We demand that the liability risks arising from the euro bailout policy finally be taken into account in financial planning.","303",NA
"Derzeit wird den Bür-gern bewusst Sand in die Augen  gestreut.","At present, sand is deliberately being thrown in the eyes of the citizens.","303",NA
"•   Wir fordern eine drastische Vereinfachung des Steuerrechts in Anleh-nung an das progressiv wirkende Kirchhofsche Steuermodell.","- We call for a drastic simplification of tax law based on the progressive Kirchhof tax model.","303",NA
"Der Bür-ger muss verstehen können, warum er in welcher Höhe besteuert wird.","The citizen must be able to understand why he is being taxed and at what rate.","303",NA
"Alterssicherung und Familie","Old age security and family",NA,NA
"•   Die Eurokrise gefährdet alle Formen der Altersvorsorge durch Über-schuldung und minimale Zinsen.","- The euro crisis is endangering all forms of retirement provision through over-indebtedness and minimal interest rates.","414",NA
"Die Schulden  der Eurokrise dürfen nicht zu einer Rente nach Kassenlage führen.","The debts of the euro crisis must not lead to a pension based on cash flow.","414",NA
"•   Wir fordern, Kinder stärker bei der Rentenberechnung zu berücksichti-gen.","- We demand that children be taken more into account when calculating pensions.","504",NA
"•   Deutschland hat zu wenige Kinder.","- Germany has too few children.","706",NA
"Renten- und Krankenversicherung  stehen deshalb auf tönernen Füßen.","Pension and health insurance therefore have feet of clay.","504",NA
"Deutschland muss kinder- und  familienfreundlicher werden.","Germany must become more child- and family-friendly.","603",NA
"•   Wir stehen für den Schutz der Familie als Keimzelle der Gesellschaft.","- We stand for the protection of the family as the nucleus of society.","603",NA
"Ei-ne solidarische Förderung der Familien ist eine Investition in unsere  gemeinsame Zukunft und wesentlicher Teil  des Generationenvertra-ges.","Supporting families in a spirit of solidarity is an investment in our common future and an essential part of the intergenerational contract.","503",NA
"Bildung","Education",NA,NA
"•  Wir fordern bundesweit einheitliche Bildungsstandards orientiert an den besten Schulsystemen Deutschlands.","- We call for uniform nationwide educational standards based on the best school systems in Germany.","302",NA
"•  Wir fordern, Bildung als Kernaufgabe der Familie zu fördern.","- We demand that education be promoted as the core task of the family.","603",NA
"Kitas und Schulen müssen dies sinnvoll ergänzen.","Kitas and schools must complement this in a meaningful way.","506",NA
"Nichts ist für unsere Zukunft wichtiger als die Bildung unserer Kinder.","Nothing is more important for our future than the education of our children.","506",NA
"•   In erster Linie sind die Eltern für die Bildung und Erziehung ihrer Kinder verantwortlich.","- First and foremost, parents are responsible for the education and upbringing of their children.","603",NA
"Der Staat  muss ihnen dabei  helfen, diese Aufgabe zu erfüllen.","The state must help them to fulfill this task.","506",NA
"Frühkindliche Bildungsangebote sollen unabhängig vom Fa-milienhintergrund  verfügbar sein.","Early childhood education services should be available regardless of fa-mily background.","503",NA
"•   Wir fordern ein qualitativ hochwertiges Universitätssystem, das den Studenten angemessene Betreuungs- und Fördermöglichkeiten bietet.","- We call for a high-quality university system that provides students with adequate care and support options.","506",NA
"Auch eine Rückkehr zu bewährten Diplom- und Staatsexamensstudi-engängen muss möglich sein.","It must also be possible to return to proven diploma and state examination courses.","000",NA
"Energiepolitik","Energy policy",NA,NA
"•  Wir fordern ein nachhaltiges Energiekonzept für bezahlbare Energie.","- We demand a sustainable energy concept for affordable energy.","416",NA
"Es ist unzumutbar, dass die Bevölkerung mit drastisch steigenden Preisen für die kopf-und konzeptionslose Politik der Bundesregierung büßen muss.","It is unacceptable that the population has to pay with drastically increasing prices for the headless and conceptless policy of the Federal Government.","503",NA
"•  Wir fordern eine Reform des Erneuerbaren-Energien-Gesetzes (EEG).","- We demand a reform of the Renewable Energy Sources Act (EEG).","503",NA
"Es ist unsozial, Subventionen für Sonnen-und Windenergie durch die Strompreise zu finanzieren.","It is anti-social to finance subsidies for solar and wind energy through electricity prices.","503",NA
"•   Wir fordern, dass Subventionen für erneuerbare Energien stattdessen aus dem allgemeinen Steueraufkommen  finanziert werden.","- We demand that subsidies for renewable energies be financed from general tax revenues instead.","503",NA
"Es muss offengelegt werden, welche Energieart wie stark subventioniert wird.","It must be disclosed which type of energy is subsidized and by how much.","303",NA
"Integrationspolitik","Integration policy",NA,NA
"•  Wir fordern eine Neuordnung des Einwanderungsrechts.","- We call for a reorganization of immigration law.","705",NA
"Deutschland braucht qualifizierte und integrationswillige Zuwanderung.","Germany needs qualified immigration that is willing to integrate.","608",NA
"•  Wir fordern ein Einwanderungsgesetz nach kanadischem Vorbild.","- We call for an immigration law based on the Canadian model.","607",NA
"Eine ungeordnete Zuwanderung in unsere Sozialsysteme muss unbedingt unterbunden werden.","Disorderly immigration into our social systems must be stopped at all costs.","601",NA
"•  Ernsthaft politisch Verfolgte müssen in Deutschland Asyl finden können.","- Serious political persecutees must be able to find asylum in Germany.","201",NA
"Zu einer menschenwürdigen Behandlung gehört auch, dass Asylbewerber hier arbeiten können.","Humane treatment also includes allowing asylum seekers to work here.","201",NA
